RowID,DeltaAltitude,DerivedClimbRate,DeltaGroundSpeed,DeltaIngestTime,DeltaLatitude,DeltaLongitude,DeltaMessageTime,DeltaClimbRate,Distance (KM),AirSpeed (km/Hour)
2,325,2881.205673758865,0,6768,0.0018100000000060845,0.013419999999996435,5792,-192,1.1485134472502239,610.9114081118212
3,150,2165.0228530190043,3,4157,0.00027999999999650527,0.0020000000000095497,6985,-640,0.17136533875532134,148.40394984824556
4,250,2181.500872600349,2,6876,0.0024900000000016576,0.017910000000000537,4536,-192,1.534195315039723,803.2436204396455
5,175,2087.475149105368,2,5030,0.001239999999995689,0.009180000000000632,6334,0,0.7856319816380269,562.281338746898
6,50,1038.781163434903,1,2888,0.0005000000000023874,0.0036399999999900956,5572,0,0.3116740249719284,388.51332752733464
7,150,2494.4567627494457,2,3608,0.00023000000000195087,0.0017700000000075988,2342,-384,0.15130128497070278,150.96580540314025
8,150,1219.8427758200055,2,7378,0.002739999999995746,0.020139999999997826,4156,-640,1.7239127074800753,841.1609849455504
9,0,0.0,1,932,0.00021000000000270802,0.0017899999999997362,6882,0,0.15259956191655324,589.4403679180169
10,50,784.7240387130526,0,3823,0.000740000000000407,0.005369999999999209,1204,128,0.45982632114761335,433.00412140502436
11,150,1277.864546358086,1,7043,0.0015399999999985425,0.011610000000004561,3492,-64,0.9929629449341095,507.548857271446
12,250,928.0455361009714,-1,16163,0.00484000000000151,0.03164999999999907,7486,0,2.7200065348990714,605.829581490853
13,50,1221.9959266802443,-2,2455,0.001629999999998688,0.0061199999999956844,15673,0,0.5464662765277282,801.3354767820047
14,25,857.6329331046312,-1,1749,0.00023000000000195087,0.0008700000000061436,2730,0,0.07761988943215375,159.76649625829248
15,25,1252.0868113522538,-1,1198,0.0007900000000020668,0.0023399999999895726,1522,0,0.21580047219345816,648.4822202808425
16,50,1037.344398340249,-2,2892,0.0006999999999948159,0.001840000000001396,1211,0,0.17343982854921425,215.90020151354472
17,25,1094.890510948905,-2,1370,0.0030700000000010164,0.006810000000001537,3594,64,0.6675208809662025,1754.0694682323572
18,275,1174.7116616830415,-6,14046,0.013539999999998997,0.01827000000000112,712,64,2.152837797556487,551.7738908730851
19,150,2091.0780669144983,1,4304,0.004210000000000491,0.004699999999999704,13983,1088,0.6130419648770672,512.7674427410414
20,100,1616.8148746968473,2,3711,0.0032500000000013074,0.003720000000001278,4639,-192,0.47826307098595194,463.95770831296875
21,50,3232.7586206896553,0,928,0.0010499999999993292,0.0012899999999973488,3499,-64,0.159473821477112,618.6484453853483
22,150,1831.8746183594544,3,4913,0.0008600000000029695,0.0009799999999984266,1036,64,0.12631258482685065,92.5555272494733
23,50,3640.776699029126,1,824,0.00525999999999982,0.006120000000009895,4694,0,0.7795221560143452,3405.6793223927702
24,50,1720.1834862385322,0,1744,0.001999999999995339,0.002429999999989718,1044,-64,0.30219164546306054,623.7900938457673
25,225,1625.9183427676744,9,8303,0.0021400000000042496,0.002620000000007394,1526,-832,0.3244770247654154,140.68617236607196
26,75,1371.9512195121952,0,3280,0.010480000000001155,0.012929999999997221,8248,-64,1.5946546157517927,1750.2306758251382
27,100,838.1058807095964,8,7159,0.007629999999998915,0.009669999999999845,3435,-128,1.175748026056588,591.2408009224356
28,100,1026.5183917878528,11,5845,0.004129999999996414,0.005350000000007071,8202,64,0.6431708934445217,396.13605071005617
29,300,1070.7911957168353,17,16810,0.016770000000001062,0.021679999999989263,5018,0,2.6088330607775054,558.7030945151113
30,75,946.969696969697,5,4752,0.00981999999999772,0.012860000000003424,17094,64,1.53723334338881,1164.5707146884924
31,1250,1619.4506823285542,30,46312,0.018040000000006273,0.023499999999998522,4478,192,2.816335929759535,218.92402286954413
32,250,1560.2246723528187,5,9614,0.045319999999996696,0.05883000000000038,46425,640,7.061341492285719,2644.147011881484
33,100,2197.802197802198,1,2730,0.008929999999999438,0.011600000000001387,9168,192,1.3915776288693003,1835.0474226847916
34,300,2353.2487906915935,2,7649,0.006320000000002324,0.008120000000005234,5739,128,0.9795396802074542,461.0201135765244
35,100,1957.5856443719413,0,3065,0.007689999999996644,0.009889999999998622,5027,-128,1.1923896033853638,1400.5228620513246
36,325,1318.4584178498985,10,14790,0.00531000000000148,0.006839999999996849,3008,-1280,0.823951714826101,200.5561983349536
37,475,1650.7384882710687,5,17265,0.0323100000000025,0.041650000000004184,14958,1472,5.014619509986034,1045.620054210815
38,375,2606.5801668211307,1,8632,0.014949999999998909,0.019350000000002865,18360,-64,2.324477659805352,969.4299786027882
39,250,2498.3344437041974,1,6004,0.009729999999997574,0.012599999999991951,8127,64,1.5130866611208322,907.2471652290133
40,500,1616.118084361364,10,18563,0.023070000000004143,0.029790000000005534,6387,-768,3.58214713935303,694.700732730211
41,275,1724.8588751829395,2,9566,0.0156599999999969,0.02027999999999963,19718,192,2.43465043527472,916.2389260912598
42,275,2328.5351397121085,2,7086,0.009839999999996962,0.012739999999993756,7648,640,1.5294988584211693,777.0527646508905
43,200,2013.4228187919464,2,5960,0.008100000000005991,0.010990000000006717,6823,-384,1.288770788805718,778.4521543121788
44,175,1866.6666666666667,5,5625,0.007549999999994839,0.011039999999994166,7212,-640,1.2498142163834445,799.8810984854044
